		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
13/05/16	9:00 a	19.1	19.1	17.9	99	18.9	0.9	NNE	1.61	2.7	N	19.1	19.9	19.9	---	756.8	0.00	0.0	235	10.11	417	1.0	0.21	1.5	0.000	0.015	25.6	59	16.9	26.0	10.63	1.1549	0.08	676	1	98.8	30
13/05/16	9:30 a	19.7	19.7	18.9	96	19.0	0.4	SSW	0.80	2.2	SW	19.7	20.7	20.7	---	756.7	0.00	0.0	306	13.16	399	1.6	0.34	1.9	0.000	0.028	26.1	58	17.1	26.6	10.39	1.1525	0.00	689	1	100.0	30
13/05/16	10:00 a	22.0	22.0	19.7	88	19.9	0.0	W	0.00	1.3	SW	22.0	23.1	23.1	---	756.5	0.00	0.0	395	16.99	425	2.1	0.45	2.4	0.000	0.076	26.4	57	17.2	26.9	10.17	1.1509	0.20	695	1	100.0	30
13/05/16	10:30 a	22.7	22.8	22.1	83	19.7	1.3	SW	2.41	3.6	WSW	22.7	23.8	23.8	---	756.4	0.00	0.0	448	19.27	469	2.7	0.58	3.0	0.000	0.091	26.4	58	17.5	26.9	10.37	1.1502	0.00	685	1	100.0	30
13/05/16	11:00 a	22.6	22.9	22.6	82	19.4	1.8	WSW	3.22	4.0	SW	22.6	23.6	23.6	---	756.1	0.00	0.0	488	20.99	510	3.3	0.71	3.5	0.000	0.089	26.3	59	17.6	26.9	10.58	1.1500	0.30	674	1	98.5	30
13/05/16	11:30 a	22.5	22.9	22.5	82	19.3	1.8	SW	3.22	3.6	WSW	22.5	23.4	23.4	---	755.9	0.00	0.0	521	22.41	538	3.7	0.79	3.8	0.000	0.087	25.6	61	17.5	26.1	10.99	1.1526	0.00	680	1	99.4	30
13/05/16	12:00 p	21.3	22.4	21.3	84	18.5	2.2	WSW	4.02	5.4	SW	21.3	22.1	22.1	---	755.7	0.00	0.0	545	23.44	573	3.9	0.84	4.0	0.000	0.061	25.3	61	17.3	25.9	11.00	1.1535	0.33	686	1	100.0	30
13/05/16	12:30 p	21.1	21.3	20.7	85	18.4	1.8	WSW	3.22	4.5	SW	21.1	21.9	21.9	---	755.4	0.00	0.0	565	24.30	621	3.8	0.81	4.1	0.000	0.057	26.1	59	17.4	26.6	10.59	1.1501	0.00	674	1	98.5	30
13/05/16	1:00 p	21.1	21.3	20.8	86	18.7	1.8	SW	3.22	4.5	W	21.1	22.0	22.0	---	755.2	0.00	0.0	574	24.69	633	3.6	0.77	4.0	0.000	0.058	26.2	58	17.3	26.7	10.39	1.1496	0.33	684	1	100.0	30
13/05/16	1:30 p	20.4	21.1	20.4	88	18.3	2.2	SW	4.02	4.5	SW	20.4	21.4	21.4	---	755.1	0.00	0.0	362	15.57	664	2.6	0.56	3.9	0.000	0.043	25.8	59	17.2	26.3	10.61	1.1511	0.00	667	1	97.5	30
13/05/16	2:00 p	20.1	20.4	20.0	89	18.2	1.8	SW	3.22	3.6	SW	20.1	21.1	21.1	---	754.9	0.00	0.0	274	11.78	357	1.8	0.39	2.3	0.000	0.037	26.2	58	17.3	26.7	10.39	1.1491	0.20	684	1	100.0	30
13/05/16	2:30 p	20.3	20.3	19.9	88	18.2	1.8	WSW	3.22	3.6	W	20.3	21.3	21.3	---	754.8	0.00	0.0	255	10.97	394	1.5	0.32	2.2	0.000	0.041	26.6	57	17.4	27.1	10.15	1.1470	0.00	679	1	99.3	30
